file_name,text
sample1.wav," Good Morning , how are you ?"
sample2.wav ,I'm doing great today
sample3.wav,It's a beautiful morning
sample4.wav,Please call me later
sample5.wav,Thank you for your support
sample6.wav,Let's go outside for a walk
sample7.wav,Namaste
sample8.wav,mein Teek hu
sample9.wav, Kripya Darwaza Kholo
sample10.wav,Mujhe Pani Chahiye
sample11.wav,"Aaj weather bahut, awesome hai"
sample12.wav,Mujhe thodasa Rest chahiye abhi
sample13.wav,Mujhe naya Car bahut pasand aya
sample14.wav,Kal hum movie dhekne chale
sample15.wav,Tumhara message abhi pada
